,count,unique,top,freq
1184,137.0,29.0,0.0,80.0
1185,143.0,35.0,0.0,69.0
1186,141.0,34.0,0.0,73.0
1190,140.0,35.0,0.0,70.0
1192,142.0,34.0,0.0,71.0
1193,144.0,35.0,0.0,68.0
1197,138.0,32.0,0.0,70.0
1201,145.0,40.0,0.0,61.0
1202,142.0,36.0,0.0,69.0
1204,142.0,35.0,0.0,70.0
1205,148.0,42.0,0.0,65.0
1209,142.0,35.0,0.0,69.0
1211,142.0,35.0,0.0,71.0
1213,145.0,39.0,0.0,68.0
1214,140.0,36.0,0.0,72.0
1215,142.0,36.0,0.0,67.0
1216,156.0,43.0,0.0,71.0
1218,143.0,35.0,0.0,67.0
1219,143.0,37.0,0.0,65.0
1226,148.0,38.0,0.0,68.0
1227,143.0,34.0,0.0,70.0
1229,146.0,40.0,0.0,67.0
1231,144.0,37.0,0.0,66.0
1232,140.0,36.0,0.0,69.0
1239,144.0,34.0,0.0,70.0
1243,149.0,40.0,0.0,73.0
1246,141.0,36.0,0.0,68.0
1251,138.0,32.0,0.0,76.0
1255,140.0,33.0,0.0,73.0
1260,145.0,37.0,0.0,61.0
1262,133.0,23.0,0.0,91.0
1263,144.0,36.0,0.0,69.0
1268,140.0,34.0,0.0,73.0
1269,141.0,38.0,0.0,67.0
1271,145.0,40.0,0.0,63.0
1272,146.0,38.0,0.0,70.0
1275,150.0,40.0,0.0,68.0
1276,142.0,35.0,0.0,69.0
1281,145.0,38.0,0.0,62.0
1285,144.0,35.0,0.0,70.0
1287,140.0,35.0,0.0,70.0
1288,147.0,36.0,0.0,70.0
1289,142.0,35.0,0.0,71.0
1292,138.0,33.0,0.0,71.0
1293,144.0,38.0,0.0,68.0
1300,140.0,34.0,0.0,71.0
1301,140.0,35.0,0.0,70.0
1303,141.0,37.0,0.0,68.0
1305,143.0,36.0,0.0,73.0
1306,142.0,36.0,0.0,66.0
1307,143.0,38.0,0.0,67.0
1308,148.0,39.0,0.0,70.0
1309,141.0,36.0,0.0,71.0
1310,144.0,38.0,0.0,67.0
1312,151.0,42.0,0.0,71.0
1313,147.0,39.0,0.0,68.0
1314,143.0,35.0,0.0,73.0
1318,141.0,34.0,0.0,71.0
1321,144.0,36.0,0.0,71.0
1326,142.0,32.0,0.0,71.0
1327,143.0,35.0,0.0,67.0
1328,142.0,34.0,0.0,68.0
1333,143.0,37.0,0.0,66.0
1335,142.0,34.0,0.0,69.0
1337,142.0,34.0,0.0,64.0
1338,144.0,38.0,0.0,69.0
1339,147.0,36.0,0.0,69.0
1340,139.0,34.0,0.0,74.0
1341,143.0,38.0,0.0,65.0
1342,142.0,35.0,0.0,67.0
1345,139.0,34.0,0.0,74.0
1346,146.0,39.0,0.0,70.0
1347,151.0,43.0,0.0,70.0
1348,146.0,35.0,0.0,69.0
1349,148.0,38.0,0.0,69.0
1351,142.0,36.0,0.0,68.0
1352,149.0,42.0,0.0,69.0
1353,140.0,33.0,0.0,71.0
1355,144.0,36.0,0.0,69.0
1356,142.0,35.0,0.0,68.0
1365,140.0,35.0,0.0,70.0
1368,142.0,36.0,0.0,68.0
1369,139.0,32.0,0.0,73.0
1370,142.0,35.0,0.0,66.0
1371,141.0,35.0,0.0,72.0
1372,142.0,37.0,0.0,65.0
1374,146.0,36.0,0.0,70.0
1375,144.0,39.0,0.0,69.0
1377,144.0,36.0,0.0,71.0
1378,141.0,36.0,0.0,67.0
1379,144.0,36.0,0.0,69.0
1381,141.0,33.0,0.0,72.0
1383,150.0,38.0,0.0,69.0
1386,140.0,34.0,0.0,71.0
1387,146.0,37.0,0.0,67.0
1388,146.0,37.0,0.0,70.0
1394,143.0,36.0,0.0,67.0
1395,147.0,38.0,0.0,69.0
1397,146.0,40.0,0.0,69.0
1400,146.0,38.0,0.0,67.0
1402,143.0,38.0,0.0,67.0
1404,146.0,37.0,0.0,68.0
1406,146.0,36.0,0.0,70.0
1407,144.0,35.0,0.0,71.0
1408,133.0,23.0,0.0,91.0
1410,140.0,34.0,0.0,71.0
1419,144.0,35.0,0.0,70.0
1421,142.0,33.0,0.0,66.0
1427,141.0,34.0,0.0,71.0
1429,141.0,32.0,0.0,71.0
1431,144.0,37.0,0.0,69.0
1436,142.0,36.0,0.0,68.0
1439,140.0,33.0,0.0,71.0
1441,147.0,42.0,0.0,67.0
1442,144.0,37.0,0.0,68.0
1445,144.0,35.0,0.0,69.0
1446,141.0,34.0,0.0,71.0
1448,139.0,32.0,0.0,74.0
1449,142.0,34.0,0.0,69.0
1451,148.0,37.0,0.0,65.0
1452,144.0,38.0,0.0,68.0
1453,144.0,36.0,0.0,69.0
1455,143.0,36.0,0.0,68.0
1456,149.0,40.0,0.0,66.0
1457,140.0,34.0,0.0,70.0
1462,144.0,35.0,0.0,70.0
1464,142.0,37.0,0.0,70.0
1465,144.0,37.0,0.0,68.0
1466,144.0,36.0,0.0,68.0
1468,142.0,33.0,0.0,72.0
1469,144.0,36.0,0.0,70.0
1471,140.0,35.0,0.0,71.0
1475,142.0,35.0,0.0,70.0
1476,139.0,34.0,0.0,73.0
1479,144.0,39.0,0.0,65.0
1481,146.0,35.0,0.0,65.0
1483,142.0,35.0,0.0,68.0
1484,139.0,31.0,0.0,74.0
1486,142.0,36.0,0.0,67.0
1490,140.0,35.0,0.0,70.0
1493,143.0,35.0,0.0,71.0
1496,144.0,35.0,0.0,69.0
1498,140.0,36.0,0.0,69.0
1500,142.0,35.0,0.0,69.0
1501,144.0,37.0,0.0,69.0
1503,142.0,35.0,0.0,68.0
1504,142.0,36.0,0.0,69.0
1510,143.0,36.0,0.0,69.0
1511,142.0,36.0,0.0,68.0
1512,144.0,36.0,0.0,70.0
1514,150.0,42.0,0.0,70.0
1515,143.0,36.0,0.0,71.0
1516,141.0,36.0,0.0,69.0
1517,142.0,35.0,0.0,71.0
1520,140.0,34.0,0.0,71.0
1524,144.0,35.0,0.0,70.0
1527,145.0,37.0,0.0,67.0
1528,148.0,38.0,0.0,70.0
1532,146.0,37.0,0.0,69.0
1538,143.0,36.0,0.0,68.0
1539,140.0,32.0,0.0,72.0
1547,140.0,35.0,0.0,72.0
1549,140.0,34.0,0.0,70.0
1552,146.0,36.0,0.0,72.0
1553,142.0,36.0,0.0,70.0
1558,145.0,38.0,0.0,67.0
1562,143.0,34.0,0.0,68.0
1564,143.0,38.0,0.0,67.0
1565,145.0,37.0,0.0,69.0
1570,146.0,38.0,0.0,71.0
1572,139.0,32.0,0.0,73.0
1582,142.0,35.0,0.0,69.0
1583,140.0,36.0,0.0,71.0
1584,146.0,38.0,0.0,70.0
1588,146.0,38.0,0.0,69.0
1595,146.0,39.0,0.0,69.0
1596,142.0,36.0,0.0,68.0
1598,144.0,39.0,0.0,69.0
1599,144.0,39.0,0.0,70.0
1604,140.0,36.0,0.0,72.0
1605,142.0,34.0,0.0,70.0
1606,140.0,34.0,0.0,72.0
1607,139.0,34.0,0.0,73.0
1610,147.0,39.0,0.0,70.0
